team,mascot,division
NYJ,Jets,AFC East
NE,Patriots,AFC East
MIA,Dolphins,AFC East
BUF,Bills,AFC East
CIN,Bengals,AFC North
CLE,Browns,AFC North
BAL,Ravens,AFC North
PIT,Steelers,AFC North
IND,Colts,AFC South
HOU,Texans,AFC South
JAX,Jaguars,AFC South
TEN,Titans,AFC South
LAC,Chargers,AFC West
DEN,Broncos,AFC West
KC,Chiefs,AFC West
OAK,Raiders,AFC West
NYG,Giants,NFC East
WAS,Redskins,NFC East
PHI,Eagles,NFC East
DAL,Cowboys,NFC East
GB,Packers,NFC North
CHI,Bears,NFC North
DET,Lions,NFC North
MIN,Vikings,NFC North
NO,Saints,NFC South
ATL,Falcons,NFC South
CAR,Panthers,NFC South
TB,Buccaneers,NFC South
LAR,Rams,NFC West
SEA,Seahawks,NFC West
SF,49ers,NFC West
ARI,Cardinals,NFC West
